party,pc_code,pc_no,candidate,hex
YSRCP,S01,1,GUMMA THANUJA RANI,#eb3734
TDP,S01,2,KINJARAPU RAMMOHAN NAIDU,#204795
TDP,S01,3,APPALANAIDU KALISETTI,#204795
TDP,S01,4,SRIBHARAT MATHUKUMILI,#204795
BJP,S01,5,C.M.RAMESH,#ff944d
JnP,S01,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),#9610ED
TDP,S01,7,G M HARISH (BALAYOGI),#204795
BJP,S01,8,DAGGUBATI PURANDHESHWARI,#ff944d
BJP,S01,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),#ff944d
TDP,S01,10,PUTTA MAHESH KUMAR,#204795
JnP,S01,11,BALASHOWRY VALLABHANENI,#9610ED
TDP,S01,12,KESINENI SIVANATH (CHINNI),#204795
TDP,S01,13,DR CHANDRA SEKHAR PEMMASANI,#204795
TDP,S01,14,LAVU SRIKRISHNA DEVARAYALU,#204795
TDP,S01,15,KRISHNA PRASAD TENNETI,#204795
TDP,S01,16,MAGUNTA SREENIVASULU REDDY,#204795
TDP,S01,17,DR BYREDDY SHABARI,#204795
TDP,S01,18,BASTIPATI NAGARAJU PANCHALINGALA,#204795
TDP,S01,19,AMBICA G LAKSHMINARAYANA VALMIKI,#204795
TDP,S01,20,B K PARTHASARATHI,#204795
YSRCP,S01,21,Y. S. AVINASH REDDY,#eb3734
TDP,S01,22,PRABHAKAR REDDY VEMIREDDY,#204795
YSRCP,S01,23,GURUMOORTHY MADDILA,#eb3734
YSRCP,S01,24,P V MIDHUN REDDY,#eb3734
TDP,S01,25,DAGGUMALLA PRASADA RAO,#204795
BJP,S02,1,KIREN RIJIJU,#ff944d
BJP,S02,2,TAPIR GAO,#ff944d
UPPL,S03,1,JOYANTA BASUMATARY,#C20B49
INC,S03,2,RAKIBUL HUSSAIN,#19AAED
AGP,S03,3,PHANI BHUSAN CHOUDHURY,#3B02C9
BJP,S03,4,DILIP SAIKIA,#ff944d
BJP,S03,5,BIJULI KALITA MEDHI,#ff944d
BJP,S03,6,AMARSING TISSO,#ff944d
BJP,S03,7,KRIPANATH MALLAH,#ff944d
BJP,S03,8,PARIMAL SUKLABAIDYA,#ff944d
INC,S03,9,PRADYUT BORDOLOI,#19AAED
BJP,S03,10,KAMAKHYA PRASAD TASA,#ff944d
BJP,S03,11,RANJIT DUTTA,#ff944d
BJP,S03,12,PRADAN BARUAH,#ff944d
BJP,S03,13,SARBANANDA SONOWAL,#ff944d
INC,S03,14,GAURAV GOGOI,#19AAED
JD(U),S04,1,SUNIL KUMAR,#39AC57
BJP,S04,2,DR.SANJAY JAISWAL,#ff944d
BJP,S04,3,RADHA MOHAN SINGH,#ff944d
JD(U),S04,4,LOVELY ANAND,#39AC57
JD(U),S04,5,DEVESH CHANDRA THAKUR,#39AC57
BJP,S04,6,ASHOK KUMAR YADAV,#ff944d
JD(U),S04,7,RAMPRIT MANDAL,#39AC57
JD(U),S04,8,DILESHWAR KAMAIT,#39AC57
